bedfile	batch_vec
GSM3476129_KZ1438_GB3827_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476133_KZ1438_GB3831_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476138_KZ1438_GB3836_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476140_KZ1438_GB3838_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476141_KZ1438_GB3839_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476143_KZ1438_GB3841_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476144_KZ1438_GB3842_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476145_KZ1438_GB3843_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476146_KZ1438_GB3844_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476147_KZ1438_GB3845_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476149_KZ1438_GB3847_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476150_KZ1438_GB3848_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476151_KZ1438_GB3849_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476152_KZ1438_GB3850_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476153_KZ1438_GB3851_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476155_KZ1438_GB3853_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476156_KZ1438_GB3854_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476158_KZ1438_GB3856_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476161_KZ1438_GB3859_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476162_KZ1438_GB3860_sc1_0_30_mapq10_noDup_filtered.txt	10
GSM3476163_KZ1438_GB3861_sc1_0_30_mapq10_noDup_filtered.txt	10
