"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"1201" 57 10 357
"1202" 905 131 171
"1203" 16 76 30
"1204" 643 52 139
"1205" 6 0 96
"1206" 57 1 3
"1207" 49 0 160
"1208" 20 4 91
"1209" 42 2 119
"1210" 5 3 32
"1211" 7 0 16
"1212" 35 1 278
"1213" 493 79 27
"1214" 131 2 3
"1215" 1089 104 187
"1216" 464 116 70
"1217" 803 135 125
"1218" 477 25 61
"1219" 931 51 118
"1220" 2 3 18
"1221" 94 1 5
"1222" 111 5 10
"1223" 4 0 19
"1224" 554 141 80
"1225" 71 1 2
"1226" 14 23 21
"1227" 943 142 261
"1228" 7 3 30
"1229" 77 2 2
"1230" 7 2 33
"1231" 5 0 21
"1232" 31 23 96
"1233" 90 1 6
"1234" 7 22 17
"1235" 171 54 60
"1236" 88 0 1
"1237" 76 9 1
"1238" 1 15 1
"1239" 581 27 28
"1240" 86 2 4
"1241" 20 5 94
"1242" 8 0 90
"1243" 63 0 0
"1244" 3 0 20
"1245" 8 0 39
"1246" 3 0 35
"1247" 11 1 78
"1248" 195 1 1
"1249" 269 0 2
"1250" 64 0 1
"1251" 136 0 80
"1252" 851 2 3
"1253" 84 1 68
"1254" 75 0 3
"1255" 70 0 0
"1256" 7 43 1
"1257" 143 0 1
"1258" 94 1 0
"1259" 94 1 0
"1260" 155 1 0
"1261" 750 5 3
"1262" 178 2 1
"1263" 77 0 0
"1264" 528 97 81
"1265" 653 60 49
"1266" 49 2 1
"1267" 455 73 85
"1268" 68 1 1
"1269" 58 0 2
"1270" 117 1 2
"1271" 1545 130 254
"1272" 237 2 10
"1273" 59 0 3
"1274" 377 2 7
"1275" 2 1 19
"1276" 596 56 68
"1277" 6 7 24
"1278" 858 84 118
"1279" 10 2 23
"1280" 286 2 18
"1281" 932 99 107
"1282" 78 6 11
"1283" 99 2 8
"1284" 279 9 16
"1285" 928 102 287
"1286" 1641 392 255
"1287" 425 10 65
"1288" 128 0 4
"1289" 521 61 77
"1290" 55 63 10
"1291" 110 4 0
"1292" 60 2 1
"1293" 605 85 139
"1294" 902 112 117
"1295" 650 69 26
"1296" 80 2 1
"1297" 894 170 80
"1298" 190 3 4
"1299" 991 117 20
"1300" 85 0 1
"1301" 109 0 1
"1302" 381 45 75
"1303" 2 5 41
"1304" 67 1 3
"1305" 594 44 87
"1306" 10 2 22
"1307" 800 47 444
"1308" 6 4 27
"1309" 277 8 33
"1310" 248 8 18
"1311" 664 138 90
"1312" 883 141 74
