Distance from Center (cmd=annotatePeaks.pl tss mm9 -size 10000 -hist 20 -len 1 -d 3T3_ChIP_bulk )	3T3_ChIP_bulk Coverage	3T3_ChIP_bulk + Tags	3T3_ChIP_bulk - Tags
1680	40.6222959	0.008661159	0.010724291
1700	39.49114034	0.008540738	0.010303104
1720	38.61452332	0.008285058	0.010133601
1740	37.96162626	0.008241684	0.009913877
1760	37.15463637	0.008026525	0.009659338
1780	36.3522122	0.00792722	0.009352864
1800	35.54636374	0.007629878	0.009243858
1820	35.02929666	0.007571665	0.009091477
1840	34.04766822	0.00747921	0.008733069
1860	33.64360257	0.007350228	0.008658876
1880	33.16420263	0.007213257	0.008620067
1900	32.28644418	0.007086558	0.008299897
1920	31.28198717	0.006727008	0.008176622
1940	30.53777585	0.006588325	0.007955185
1960	30.23187303	0.006667083	0.00775943
1980	29.6280574	0.006436515	0.007657273
2000	29.45570171	0.006498152	0.007573948
2020	28.58821611	0.006263588	0.007305713
2040	28.36335471	0.006176269	0.00731199
2060	27.78693336	0.006037586	0.0071676
2080	27.06669203	0.005946842	0.006939314
2100	26.56446353	0.005933716	0.006745842
2120	25.95722361	0.005659773	0.006685346
2140	25.52348081	0.005619252	0.006530683
2160	25.58055223	0.005671758	0.006532395
2180	24.32269812	0.005343026	0.006302397
2200	24.47793238	0.005445184	0.006220785
2220	24.20513099	0.005325905	0.006178552
2240	23.75198391	0.005289379	0.006042722
2260	22.61169692	0.005014295	0.005715132
2280	22.29894554	0.004955511	0.005655207
2300	22.50326122	0.004948663	0.005772774
2320	22.24872269	0.004970921	0.005646076
2340	21.74078704	0.004877894	0.005476574
2360	21.71339276	0.004859061	0.005492554
2380	20.77856289	0.004585118	0.005287667
2400	20.93037287	0.004758044	0.005175236
2420	20.86987716	0.004646184	0.005284243
2440	20.18387868	0.004467551	0.005152408
2460	20.05033156	0.004564002	0.005005164
2480	19.73758017	0.00432316	0.005099331
2500	19.89281444	0.004516062	0.0050103
2520	19.21480596	0.004306039	0.004867051
2540	19.0196217	0.004320877	0.0047706
2560	18.88379172	0.004337999	0.004675291
2580	19.06299598	0.004294624	0.004795711
2600	18.25372323	0.004141673	0.004542314
2620	18.35759322	0.004097728	0.004631346
2640	17.87819328	0.004072617	0.004443581
2660	17.71154473	0.00397959	0.004493233
2680	17.35313621	0.003886564	0.004401919
2700	17.36340907	0.003990434	0.004287205
2720	17.54603761	0.004010979	0.004348272
2740	17.18192195	0.003768426	0.004373383
2760	16.89542342	0.003850609	0.00422728
2780	16.71165344	0.003798674	0.004142814
2800	16.09642352	0.003697087	0.003991004
2820	16.0713121	0.003669692	0.003982444
2840	15.81905642	0.003608626	0.003927655
2860	15.99597782	0.003704506	0.003903685
2880	15.53940646	0.003586939	0.003831775
2900	15.23692793	0.003445972	0.003803239
2920	15.65697358	0.003642869	0.003821502
2940	15.65811501	0.003646293	0.003815795
2960	15.20268507	0.003486493	0.003717062
2980	15.55766931	0.003527585	0.003887705
3000	14.9424394	0.003330117	0.003768426
3020	14.89792369	0.003377487	0.003722198
3040	14.47217089	0.003293592	0.003586368
3060	14.30438091	0.003168035	0.003657137
3080	14.3842809	0.003273046	0.003614904
3100	13.95282096	0.003150342	0.003502473
3120	13.9984781	0.00318059	0.003486493
3140	14.05669094	0.003186868	0.003532721
3160	13.35357104	0.003039053	0.003315279
3180	13.72681813	0.003154908	0.00338034
3200	13.53619959	0.00313208	0.003290167
3220	13.52021959	0.003093271	0.003354087
3240	13.33530819	0.003059599	0.003278182
3260	13.33074247	0.003110963	0.00325992
3280	13.26225677	0.003081286	0.00322853
3300	13.22687249	0.003033346	0.003250788
3320	13.1469725	0.003111534	0.003136645
3340	12.93238395	0.002987689	0.003162898
3360	12.96548538	0.003017937	0.003166322
3380	12.91640396	0.003005952	0.003143494
3400	12.3719426	0.002814192	0.003045902
3420	12.89699967	0.002915779	0.003219399
3440	12.81481683	0.002934042	0.003173171
3460	12.4963583	0.002903794	0.003055033
3480	12.51462115	0.002895804	0.003096695
3500	12.16191977	0.00286042	0.002933471
3520	12.37080117	0.002799924	0.003091559
3540	12.37536689	0.002850717	0.003039624
3560	12.08430264	0.002782232	0.00295687
3580	12.12082835	0.002856995	0.00292434
3600	11.99184694	0.002822752	0.002882107
3620	12.11968692	0.002854712	0.002910072
3640	12.09115121	0.002794217	0.002960295
3660	11.89254267	0.002785085	0.002903223
3680	12.03636265	0.002829601	0.002917491
3700	11.71676269	0.002682357	0.002905506
3720	11.7373084	0.00270062	0.002895804
3740	11.65398413	0.002745135	0.002798212
3760	11.48961844	0.002747989	0.0027166
3780	11.72475269	0.002704044	0.00289238
3800	11.4679313	0.00265325	0.002810197
3820	11.69393412	0.002713175	0.002861561
3840	11.69050984	0.002695483	0.002888955
3860	11.58549842	0.002689205	0.002833596
3880	11.35378846	0.002690347	0.002714887
3900	11.43711273	0.002647543	0.00281248
3920	11.27160561	0.002625285	0.002744565
3940	11.49874986	0.002650967	0.002809626
3960	11.23736276	0.002558512	0.00281248
3980	10.79905425	0.00244551	0.00270119
4000	11.14148277	0.002654962	0.00267665
4020	11.09240135	0.002577345	0.002663523
4040	11.12550277	0.002560224	0.002726302
4060	10.84813567	0.002526552	0.002616154
4080	10.95542994	0.002547098	0.002698907
4100	11.05701707	0.002569926	0.00270861
4120	11.09582563	0.002660099	0.002609876
4140	10.67007283	0.002531688	0.00252541
4160	10.63012284	0.002504865	0.002550522
4180	10.56620285	0.002504294	0.00250087
4200	10.45206001	0.002471763	0.002517991
