name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000184221_LINE291_OLIG1_D	OLIG1	0.667295924331782	0.542334071446617	0.786825881564109	0.999066726209856	1
ENSG00000187098_LINE295_MITF_D	MITF	0.567948166271596	0.44797284272294	0.664559428300337	0.999985515550096	1
ENSG00000187728_LINE296_ENSG00000187728_I	ENSG00000187728	0.585090818430562	0.467161837671281	0.678890661566625	0.999967105341138	1
ENSG00000187786_LINE297_SCXB_I	SCXB	0.710951038897503	0.592669026515609	0.805850726279303	0.996118280006371	1
ENSG00000188095_LINE300_MESP2_I	MESP2	0.478780728885203	0.352493767490262	0.600625935777652	0.999999909972406	1
ENSG00000188290_LINE301_HES4_I	HES4	0.657248348061509	0.493659831731203	0.768999956749617	0.999349233519423	1
ENSG00000188686_LINE302_SCXA_I	SCXA	0.710951038897503	0.592669026515609	0.805850726279303	0.996118280006371	1
ENSG00000196628_LINE303_TCF4_D_N3	TCF4	0.532858945179734	0.410320457887399	0.635601074025506	0.999997671316152	1
ENSG00000197921_LINE306_HES5_D_N2	HES5	0.629911802805346	0.509073684528034	0.736489552754571	0.999771485037867	1
ENSG00000198911_LINE308_SREBF2_D_N1	SREBF2	0.549842414308908	0.436947379945752	0.63803531786486	0.999994212015445	1
ENSG00000198911_LINE311_SREBF2_D_N1	SREBF2	0.7220172689182	0.602488878562837	0.825991027049072	0.994618913012624	1
ENSG00000198911_LINE312_SREBF2_D_N1	SREBF2	0.693228588746277	0.544180778932341	0.813575869438573	0.997764296413399	1
ENSG00000205927_LINE315_OLIG2_D_N2	OLIG2	0.947430529458287	0.797489340293315	1.07597732140756	0.655123054989518	1
ENSG00000233608_LINE317_TWIST2_I	TWIST2	0.670127788220269	0.499622926433218	0.811909228726499	0.99896924109515	1
ENSG00000250811_LINE320_ENSG00000250811_I	ENSG00000250811	0.426139082439424	0.307068438081994	0.516675576375218	0.999999997906578	1
ENSG00000174197_LINE321_MGA_D_N1	MGA	0.619490692952846	0.48592321841354	0.725958863024555	0.999850637484549	1
ENSG00000174197_LINE322_MGA_D_N1	MGA	0.73260645197507	0.612619099156346	0.826734990545747	0.992736092494952	1
ENSG00000174197_LINE323_MGA_D_N1	MGA	0.766164912906337	0.638241031357784	0.86116204735477	0.982605091987761	1
ENSG00000060566_LINE327_CREB3L3_I	CREB3L3	0.762796209865944	0.623569412730955	0.859600030144011	0.983982473378218	1
ENSG00000075426_LINE328_FOSL2_D_N3	FOSL2	0.691228882309603	0.559301546762083	0.790978979114786	0.997903990319905	1
